timestep,value,action
0,48.37468,[[0.04893747 0.66209245 0.        ]]
1,43.2772,[[1.         0.17474365 0.        ]]
2,44.94939,[[0.45302045 1.         0.        ]]
3,44.128628,[[0.96932286 0.806727   0.        ]]
4,45.3612,[[0.16369033 1.         0.        ]]
5,46.636784,[[-0.8222106   0.61390805  0.        ]]
6,45.697704,[[-0.42186913  1.          0.        ]]
7,47.25673,[[0.7500993 0.        0.       ]]
8,47.488373,[[-0.5868957  1.         0.       ]]
9,48.97369,[[-1.  0.  0.]]
10,48.49759,[[-1.          0.99327743  0.        ]]
11,48.729393,[[-1.          0.20322931  0.        ]]
12,47.654964,[[0.97309744 0.19050515 0.        ]]
13,49.17457,[[-1.  1.  0.]]
14,48.992916,[[0.5674399 1.        0.       ]]
15,49.979908,[[-0.64149547  1.          0.        ]]
16,49.767723,[[-0.8440702  1.         0.       ]]
17,49.056522,[[-0.99720705  0.89945257  0.        ]]
18,49.736023,[[1. 1. 0.]]
19,49.518387,[[0.7238271 0.        0.       ]]
20,52.039894,[[1. 1. 0.]]
21,53.34791,[[0.27936906 1.         0.        ]]
22,54.322903,[[-0.65079457  1.          0.        ]]
23,54.195248,[[-0.24140203  1.          0.        ]]
24,53.632008,[[1. 1. 0.]]
25,53.159233,[[0.0866577  0.17409837 0.        ]]
26,52.94683,[[0.65103567 1.         0.        ]]
27,53.012547,[[1. 0. 0.]]
28,53.887745,[[1. 1. 0.]]
29,53.484043,[[0.14234856 1.         0.        ]]
30,53.061897,[[0.21762192 0.5884974  0.        ]]
31,52.182423,[[-0.51865315  1.          0.        ]]
32,52.553226,[[0.10985985 1.         0.        ]]
33,51.971424,[[0.13685136 1.         0.        ]]
34,53.678482,[[0.6410617 1.        0.       ]]
35,53.788124,[[-0.76540196  0.00571442  0.        ]]
36,55.254547,[[0.6928216 0.5141711 0.       ]]
37,55.3279,[[-0.38120303  1.          0.        ]]
38,54.295506,[[-0.35780016  1.          0.        ]]
39,54.7897,[[1. 0. 0.]]
40,55.251545,[[1. 1. 0.]]
41,53.883976,[[0.75648713 0.26380086 0.        ]]
42,53.525455,[[-1.  1.  0.]]
43,53.08756,[[-1.  1.  0.]]
44,52.821033,[[-1.         0.5723896  0.       ]]
45,53.592026,[[-1.  1.  0.]]
46,53.181244,[[-1.  1.  0.]]
47,54.315426,[[-1.  1.  0.]]
48,55.002617,[[-1.        0.301139  0.      ]]
49,55.04257,[[-1.          0.75049746  0.        ]]
50,55.139317,[[-1.          0.11377943  0.        ]]
51,55.371002,[[-1.  1.  0.]]
52,54.48127,[[-0.2758187  1.         0.       ]]
53,53.870102,[[0.22606272 1.         0.        ]]
54,55.08507,[[-1.  0.  0.]]
55,54.97735,[[0.04101333 1.         0.        ]]
56,55.010117,[[1.        0.6834962 0.       ]]
57,56.14057,[[1. 1. 0.]]
58,56.657032,[[0.81361586 0.6250758  0.        ]]
59,57.22457,[[1. 1. 0.]]
60,57.1477,[[1. 1. 0.]]
61,57.31975,[[0.13493448 1.         0.        ]]
62,56.322514,[[0.8022099  0.95187217 0.        ]]
63,57.036316,[[-0.733932  1.        0.      ]]
64,56.94674,[[0.3260037 1.        0.       ]]
65,57.173504,[[-1.  1.  0.]]
66,58.116684,[[-1.  1.  0.]]
67,57.527805,[[-0.30000997  1.          0.        ]]
68,58.475536,[[1. 1. 0.]]
69,58.522472,[[-1.  1.  0.]]
70,58.951546,[[-1.  1.  0.]]
71,59.64091,[[0.02570689 1.         0.        ]]
72,59.583893,[[-1.  1.  0.]]
73,59.86394,[[-1.  0.  0.]]
74,59.3035,[[-1.          0.19636357  0.        ]]
75,59.814434,[[-1.         0.6054518  0.       ]]
76,58.957798,[[-1.         0.9681978  0.       ]]
77,58.84026,[[-1.  1.  0.]]
78,58.90976,[[-1.  1.  0.]]
79,58.75155,[[-0.85124886  0.89888185  0.        ]]
80,56.925003,[[1. 1. 0.]]
81,56.969807,[[-1.  1.  0.]]
82,56.31892,[[-0.21707973  1.          0.        ]]
83,55.510117,[[-0.10039572  1.          0.        ]]
84,53.66602,[[-0.90142536  1.          0.        ]]
85,55.11819,[[1.         0.08193755 0.        ]]
86,55.880745,[[-0.57029593  1.          0.        ]]
87,55.463932,[[-0.17795229  1.          0.        ]]
88,54.546608,[[0.5590317 1.        0.       ]]
89,53.84791,[[-1.          0.79976237  0.        ]]
90,53.626896,[[-0.81566286  1.          0.        ]]
91,53.864914,[[-0.42369878  1.          0.        ]]
92,52.662975,[[-0.9053924  1.         0.       ]]
93,53.240574,[[-0.9258157  1.         0.       ]]
94,50.345688,[[-0.75375056  0.61124754  0.        ]]
95,50.01908,[[1.        0.9848074 0.       ]]
96,48.552128,[[0.23607627 1.         0.        ]]
97,45.715435,[[-0.03712672  1.          0.        ]]
98,45.870426,[[1. 1. 0.]]
99,45.011166,[[-0.02678955  1.          0.        ]]
100,44.485477,[[-3.592968e-04  9.798529e-01  0.000000e+00]]
101,45.386242,[[-0.00200748  1.          0.        ]]
102,44.66251,[[1. 1. 0.]]
103,45.100674,[[1.         0.22860312 0.        ]]
104,44.510433,[[1. 1. 0.]]
105,43.18326,[[1. 1. 0.]]
106,43.21803,[[1. 1. 0.]]
107,43.392876,[[1. 1. 0.]]
108,44.579414,[[1.         0.12773553 0.31911957]]
109,43.947964,[[0.9788444 0.        0.       ]]
110,41.96236,[[1. 1. 0.]]
111,40.447575,[[1.         0.82373846 0.        ]]
112,38.997047,[[1. 0. 0.]]
113,37.14566,[[1. 1. 0.]]
114,35.953342,[[1.         0.23859924 0.        ]]
115,34.882935,[[1. 0. 0.]]
116,36.369854,[[1. 0. 0.]]
117,37.018032,[[0.34751844 0.38879025 0.06134737]]
118,36.536823,[[0.57871914 0.         0.        ]]
119,36.463734,[[1. 0. 0.]]
120,36.443283,[[1.         0.09959741 0.        ]]
121,37.519665,[[-0.12323856  0.          0.        ]]
122,38.429306,[[1. 0. 0.]]
123,40.821674,[[1.         0.03922486 0.        ]]
124,40.807663,[[1.        0.5824682 0.       ]]
125,41.32511,[[1. 0. 0.]]
126,42.16337,[[1. 0. 0.]]
127,43.260193,[[1. 0. 0.]]
128,44.283443,[[1.         0.41092855 0.        ]]
129,45.056755,[[0.9938029  0.43739116 0.        ]]
130,46.18664,[[0.7431183  1.         0.45048296]]
131,46.012505,[[0.723968 0.       0.      ]]
132,46.67621,[[-1.          0.43490326  0.        ]]
133,48.18586,[[-1.          1.          0.19299948]]
